comment,like_count,published_at,author,sentiment,emotions,anger,fear,negative,positive,trust,anticipation,joy,surprise,sadness,disgust,positive_count
This is an influencer pretending to be a good fighter vs The most dangerous human on the planet 40 years ago,0,2024-10-25T21:52:57Z,@Adam-qg9br,Positive,"{'anger': 1, 'negative': 2, 'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1, 'fear': 1}",1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
This is so scripted makes me mad what a joke.,0,2024-10-25T18:55:14Z,@mrX666-s9p,Negative,"{'anger': 1, 'disgust': 1, 'fear': 1, 'negative': 2, 'sadness': 1}",1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
"Either it will be a draw or Tyson will lose. What a Kabbalist Paul is. He worships Satan and it brings him money, fame and winnings..

But one humble person succeeded. Tommy Fury was able to defeat the snake..",0,2024-10-25T18:40:11Z,@Noso2khl,Positive,"{'anger': 2, 'disgust': 3, 'fear': 2, 'negative': 4, 'sadness': 2, 'surprise': 2, 'anticipation': 2, 'joy': 2, 'positive': 4, 'trust': 1}",2.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,1
Do jake vs neeraj also,0,2024-10-25T18:27:08Z,@amansoni9910,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"What happens next:
Jake paul whole expierence summed: 🤜🏿😵 to 👨🏼‍🦼‍➡️ and or ☠️ next we see of jake paul after though hell be talking like stephen hawking",0,2024-10-25T17:38:36Z,@Gwava94,Positive,"{'anger': 1, 'disgust': 1, 'fear': 1, 'negative': 1, 'sadness': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
What's mental is... because it's on netflix and not ppv.... this fight will literally be the most watched boxing fight ever!,0,2024-10-25T16:05:31Z,@LS-fd6tl,Positive,"{'anger': 3, 'fear': 2, 'negative': 2}",3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Fight footage from 38 years ago. 🤔,0,2024-10-25T15:59:47Z,@larrysellers7891,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ludacris on the mic 🎙,0,2024-10-25T15:38:03Z,@Galsnes,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LOL 😂😂😂😂😂😂,0,2024-10-25T14:35:51Z,@6431arshad,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"""this will be the fight of the century that will go down in history"" ~ said someone",0,2024-10-25T14:29:00Z,@monsieur_nemo,Negative,"{'anger': 1, 'fear': 1, 'negative': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LETS GO,0,2024-10-25T13:10:19Z,@ResonanceSoundLab,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mike tyson will lose dudes almost 60,0,2024-10-25T12:25:16Z,@AliAlipoir,Neutral,"{'anger': 1, 'disgust': 1, 'fear': 1, 'negative': 1, 'sadness': 1, 'surprise': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"TBH this is a joke, Jake disrespecting every athelete, fighting all retired boxers, or out of weight class mid aged fighters. Who is even jake Paul lol, He doen't desure such honor in boxing",0,2024-10-25T11:18:43Z,@sirijanthakur,Positive,"{'negative': 3, 'anger': 2, 'anticipation': 1, 'disgust': 1, 'fear': 1, 'joy': 1, 'positive': 2, 'sadness': 1, 'surprise': 1, 'trust': 2}",2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1
Who won this,0,2024-10-25T10:28:46Z,@HHarsHH.,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
I love Tyson.. but he's 60,0,2024-10-25T09:54:26Z,@DJlovesjiujitsu,Positive,"{'joy': 1, 'positive': 1}",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Is this speaker Ludachris?,0,2024-10-25T08:00:59Z,@sthetik3019,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AINT IT CANCELLED??,0,2024-10-25T06:02:27Z,@treeoflifeiwanta4090,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
The clown show is in town 😮,0,2024-10-25T05:32:13Z,@spencertouch6352,Neutral,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1}",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0
Mike Tyson went to jail 31 time's because of fighting I'm voting for iron Mike tyson,0,2024-10-25T05:09:42Z,@beatricengunju6025,Negative,"{'fear': 1, 'negative': 2, 'sadness': 1, 'anticipation': 1, 'anger': 1, 'positive': 1, 'trust': 1}",1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
i love jake,1,2024-10-25T04:39:44Z,@creamylatte3138,Positive,"{'joy': 1, 'positive': 1}",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
"Jake Paul loses either way; great you beat up an old boxing legend… or wow, you lost to a boxing legend. 

Hope he enjoys life less with every stupid dollar he earns",0,2024-10-25T04:20:28Z,@MrMrMckinley,Negative,"{'anger': 2, 'negative': 2, 'sadness': 1}",2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Rumor has it Jimmy Carter is gonna be next fight,0,2024-10-25T04:18:46Z,@MrMrMckinley,Neutral,"{'anger': 1, 'fear': 1, 'negative': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Mike Tyson is the GOAT, Jake Paul is a coward",0,2024-10-25T04:14:58Z,@KingBowser77766,Neutral,"{'disgust': 1, 'fear': 1, 'negative': 1, 'sadness': 1}",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
When the fight? And where I can see it?,0,2024-10-25T04:11:11Z,@FgDd-c5j,Neutral,"{'anger': 1, 'fear': 1, 'negative': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
When trailer begins with a quote of a legend. The decision is already made,0,2024-10-25T03:01:26Z,@dogwaysco,Neutral,"{'anticipation': 1, 'negative': 1, 'positive': 1, 'surprise': 1}",0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
Leave unc alone. Fight Neeraj,0,2024-10-25T02:43:29Z,@user-mf9gs,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"“This is no ordinary fight”

Yeah, it’s a circus",0,2024-10-25T02:42:38Z,@user-mf9gs,Positive,"{'anger': 1, 'fear': 1, 'negative': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"This entire thing is just a money pool with as many people as possible tryna dip their feet into it. They keep tryna get the hype bigger and the funders bigger on the promise that it's gonna be so big everyone gets out rich. It has absolutely nothing to do with the fight itself, it's just a tool, and I suspect the legitimacy of it isn't relevant to them either. Don't be surprised if it looks more WWE than boxing, and I think reasonably you should just wait and see the results after the fact instead of playing into their scheme",0,2024-10-25T00:23:59Z,@A_Random_Guy_In_The_Comments,Positive,"{'anger': 3, 'anticipation': 3, 'joy': 2, 'positive': 4, 'surprise': 2, 'trust': 5, 'negative': 5, 'fear': 2}",3.0,2.0,5.0,4.0,5.0,3.0,2.0,2.0,0.0,0.0,1
An iconic fighter who is now a grandpa and with a weakened body against a young man. That fight should only be taken as a funny even aiming at filling Mike's wallet that's it. Nothing serious is on the line,0,2024-10-24T22:57:06Z,@yona608,Positive,"{'negative': 2, 'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'anger': 1, 'fear': 1}",1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1
We need an apocalypse,0,2024-10-24T22:44:07Z,@dcsmith111,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MIKE TYSON WILL WIN!!!!! JAKE PAUL IS COOKED,0,2024-10-24T22:26:12Z,@ChompSlayer,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"Mike has far more skill and experience than Jake Paul ever will, but I feel like Tyson's biggest weakness will be his stamina.  If he doesn't gas out and can get close enough to Paul to land his atomic bomb punches, then it will be lights out for Jake.",1,2024-10-24T22:12:32Z,@kmlgraph,Positive,"{'negative': 2, 'positive': 2, 'trust': 1, 'anger': 1, 'fear': 1, 'sadness': 1, 'surprise': 1}",1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1
If this wasnt rigged mike would win for sure,0,2024-10-24T21:52:25Z,@ruzcelbeltran,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
This fight is a disgrace let’s be honest,0,2024-10-24T21:15:57Z,@rowangalloway393,Positive,"{'anger': 3, 'fear': 2, 'negative': 2, 'disgust': 2, 'sadness': 2, 'joy': 1, 'positive': 1, 'trust': 1}",3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1
Mike literally looks like a granpa this event sux...,0,2024-10-24T19:24:26Z,@lagoso8155,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
This is great. We get to see Tyson knock out Jake a week after trumps knocks out Kamala,0,2024-10-24T19:23:52Z,@justsomeguy9452,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"This is a lose-lose for Jake. 
Either he wins by knocking out an old man.
Or the old man will knock him out.",0,2024-10-24T19:22:57Z,@skinner219,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Do not underestimate the power of old man strength and being the baddest MF in the sport. Tyson has been ready since his last fight from a few years ago.,0,2024-10-24T19:11:11Z,@StephenNovak-e6e,Positive,"{'surprise': 1, 'positive': 1, 'trust': 1, 'anticipation': 1, 'anger': 1, 'fear': 1, 'negative': 1}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1
Cringe,0,2024-10-24T18:12:44Z,@arablues4142,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
I call ice on Mike Tyson,0,2024-10-24T18:07:02Z,@Dejavu_77341,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
I honestly don't mind a staged fight as long as they pull it off right what I mean is real punches but controlled,0,2024-10-24T17:48:59Z,@JerryNeddler,Positive,"{'anger': 1, 'fear': 1, 'negative': 1, 'anticipation': 1, 'positive': 2, 'trust': 1}",1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1
This is a lose/lose for Jake and I’m here for ALLADAT,0,2024-10-24T17:26:05Z,@TheOnlyDTM,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
The greatest - Mohammad Ali,0,2024-10-24T16:29:30Z,@AjayBhandari-g4q,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Jake Paul ear will be missing soon 😂😂😂,1,2024-10-24T15:46:26Z,@danglee8548,Negative,"{'fear': 1, 'negative': 1, 'sadness': 1}",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
When Jake gets knocked out first hit 🤣😂 💥,0,2024-10-24T15:08:24Z,@OffRoadGarage503,Positive,"{'anger': 1, 'negative': 1}",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
It’s a good thing they hide the amount of dislikes this video would absolutely bomb,0,2024-10-24T13:59:00Z,@SamaelTargaryen-v1n,Positive,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 2, 'trust': 1, 'fear': 2, 'anger': 1, 'negative': 1, 'sadness': 1}",1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1
Ludacris are the voice in this video,0,2024-10-24T13:34:51Z,@vicenteferraz7679,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
I think you past your prime and are foolish enough to think the internet cares about your extremist mindset on a boxing match forgetting that the entertainment world is all about entertainment and engagement. You do the engaging and we will watch it for the entertainment . Tysons a full grown man who makes his own decisions and lives to fight.  It's not about who's better it's about giving us another chance to watch a tyson fight. It's gonna put alot of money in both guys pockets and gives the world something to look forward to as there is not much these days,0,2024-10-24T13:26:12Z,@givemetruth4988,Positive,"{'positive': 9, 'negative': 3, 'anger': 4, 'anticipation': 6, 'joy': 5, 'surprise': 5, 'trust': 5, 'fear': 4}",4.0,4.0,3.0,9.0,5.0,6.0,5.0,5.0,0.0,0.0,1
When did jake get a nick name?,0,2024-10-24T13:19:15Z,@VisionOf10k,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
This commercial doesn’t help combat the staged accusations,0,2024-10-24T11:58:51Z,@DiegoPoston,Neutral,"{'anger': 1, 'fear': 1, 'negative': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"They have a trailer? 
I hope the internet bury logan",0,2024-10-24T11:07:13Z,@Azazel-nl,Neutral,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1, 'sadness': 1}",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
The world's a stage... they got the sheep again ... 💀😂,0,2024-10-24T10:16:38Z,@Molemole7,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
both will make a shit ton of money. i‘m guessing its in the 9 figures for both of them,0,2024-10-24T10:02:50Z,@giacomocasanova2893,Negative,"{'anger': 2, 'disgust': 1, 'negative': 1, 'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1}",2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0
India time ????,0,2024-10-24T09:21:22Z,@joshikrishna7118,Neutral,{'anticipation': 1},0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
Yall need to go see mike tyson train now still fast 💯,0,2024-10-24T09:01:43Z,@ronnieshackleford7660,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Looks like no one cares,0,2024-10-24T08:12:39Z,@RcDady,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
The Tyson vs Jake fight is a joke. It’s all about the hype. If should have taken place a long time ago but they have stretched out the buildup to make more money. It is starting to get boring 😴,0,2024-10-24T07:49:06Z,@stevierico5934,Negative,"{'anger': 2, 'fear': 1, 'negative': 4, 'anticipation': 4, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1}",2.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0
Mike Tyson vs Sadhguru vs Jake Paul triple threat Street fight we want!!!!,1,2024-10-24T06:16:02Z,@mubarizsalim,Neutral,"{'anger': 2, 'fear': 2, 'negative': 2}",2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
lol gonna be ass,0,2024-10-24T06:04:09Z,@RumitheBartender,Positive,{'negative': 1},0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
I just watched the trailer and Jake Paul is not fighting the “Baddest man on the planet” but more like the “Oldest man on the Planet”  is he fighting 2 different people or what’s going on?  The Mike Iron Tyson I know would finish the match in seconds.,0,2024-10-24T05:12:25Z,@flashnewera548,Positive,"{'anger': 2, 'negative': 2}",2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
imagine 1992 Mike iron Tyson Vs Jake Paul a YouTuber 😂 .. this fight wouldn't exist..,0,2024-10-24T04:22:56Z,@stopnwatchentertainmentjdt9325,Neutral,"{'positive': 1, 'trust': 1, 'anger': 1, 'fear': 1, 'negative': 1}",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Worst acting ever. Imagine not having a brain and thinking this isn't just trash acting.,0,2024-10-24T03:50:00Z,@SauceBoss420,Negative,"{'disgust': 1, 'negative': 1, 'sadness': 1}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
This is crazy,0,2024-10-24T03:37:47Z,@bootsbailey5857,Negative,"{'anger': 1, 'fear': 1, 'negative': 1, 'sadness': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
This is like Sukha versus Gojo,0,2024-10-24T03:16:42Z,@james88gamingwithyou,Neutral,"{'anger': 1, 'negative': 1}",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Let me understand, Mike Tyson just making an ad for Jake Paul, he get money, he can't K.O him, and his saying ''this is no ordinary fight, this is jake paul'' lmao, ok",0,2024-10-24T03:00:32Z,@naiscrim,Positive,"{'anger': 2, 'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1, 'fear': 1, 'negative': 1}",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
"This trailer  makes me wonder whether it will be a staged fight or a legit one. Theyve obviously did a rehearsed match for this trailer, yet theyre werent supposed to see each other until the day of the fight.",0,2024-10-24T02:24:24Z,@RinnaDimalanta,Negative,"{'anger': 2, 'fear': 2, 'negative': 2}",2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Source the quote and get it right, geez. 😒

""Everyone has a plan until they get hit."" - Mike Tyson.

The original quote from his 1987 fight against Tyrell Biggs, when asked by a reporter if he was worried about the fight.",0,2024-10-24T02:23:53Z,@TheDownUnderDudes,Positive,"{'anticipation': 3, 'negative': 6, 'positive': 3, 'surprise': 2, 'anger': 3, 'fear': 2, 'trust': 1, 'sadness': 1}",3.0,2.0,6.0,3.0,1.0,3.0,0.0,2.0,1.0,0.0,1
i want francis ngannou vs jake paul after thumbs this up so that coward wont get away,0,2024-10-24T02:19:15Z,@kyzaso0sa,Neutral,"{'disgust': 1, 'fear': 1, 'negative': 1, 'sadness': 1, 'anticipation': 1}",0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0
"I hope Mike wins by devastating knockout, but I just unfortunately don’t see it happening. What a stupid fight. I’m also watching the highlights when the fights done. I would never and will never pay a dime for a Jake Paul fight.",0,2024-10-24T01:39:45Z,@ZakH644,Negative,"{'anticipation': 2, 'joy': 2, 'positive': 3, 'surprise': 1, 'trust': 4, 'anger': 3, 'disgust': 1, 'fear': 3, 'negative': 4, 'sadness': 1}",3.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,0
0:15 Mike still got it 🔥🔥🔥🔥,1,2024-10-24T01:39:18Z,@SeikoMokuteki,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"It will go the distance, neither this or that, much clinching, JP not throwing heavy head shots( some kind of agreement), tyson gasing early, but will have a few nice flurrys, and people saying glad they didnt pay for this afterwards, my predictions. Somewhat scripted to make both look «good».",0,2024-10-24T01:22:40Z,@Trønderfår,Positive,"{'joy': 4, 'positive': 5, 'trust': 4, 'anticipation': 3, 'surprise': 1}",0.0,0.0,0.0,5.0,4.0,3.0,4.0,1.0,0.0,0.0,1
"Everyone is saying Mike Tyson is old but old masters are still masters. Could he fight competitively? Of course not. Is he still absolutely one of the best boxers one the planet? Without a doubt. 

It's not like he's some decrepit old man - 58 *really* isn't that old. Just ask anyone who's sparred with their coach/sensei.",2,2024-10-24T00:08:51Z,@sorryitsmoops,Positive,"{'anger': 1, 'fear': 2, 'negative': 3, 'sadness': 1, 'trust': 1}",1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
What a joke,0,2024-10-23T23:46:34Z,@dl30wpb,Neutral,{'negative': 1},0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Like Mike Tyson says ""Everyone's got a plan until they get hit in the face.""",0,2024-10-23T23:34:36Z,@jakeilano6821,Neutral,"{'anticipation': 1, 'anger': 1, 'negative': 1}",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
Tyson in 2 !!,0,2024-10-23T22:11:32Z,@LVBVoice,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"I was very confident at first that Mike will take this one easy but after seeing Buakaw, the god of Muay Thai, lost the first match in K1 championship in his return after retirement, I’m a bit worried.

Age catches up with everyone, and Buakaw is even younger than Tyson.",0,2024-10-23T21:51:36Z,@work1907,Positive,"{'joy': 3, 'positive': 4, 'trust': 3, 'anticipation': 2, 'fear': 2, 'negative': 3, 'sadness': 3}",0.0,2.0,3.0,4.0,3.0,2.0,3.0,0.0,3.0,0.0,1
I can’t explain how happy I’ll be if Tyson actually wins this,0,2024-10-23T21:20:28Z,@CenationTroop,Positive,"{'positive': 2, 'trust': 2, 'anticipation': 1, 'joy': 1}",0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1
Rip jake pual guys 😭💀,2,2024-10-23T20:42:49Z,@antoway7racing569,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Spoiler; unfortunately Jake Paul will lose 🥴,0,2024-10-23T20:13:23Z,@savagehunt8760,Negative,"{'anger': 1, 'disgust': 1, 'fear': 1, 'negative': 1, 'sadness': 1, 'surprise': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"scripted fight, no thanks",0,2024-10-23T20:12:06Z,@sarah42e,Negative,"{'anger': 1, 'fear': 1, 'negative': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Even if Mike Tyson loses the fight, he ultimately wins and Jake Paul just looks like a f%cking idiot, as per usual. If Jake Paul loses the fight, he looks like an arrogant dumba$$ for having the audacity to think he could actually beat Mike Tyson. If Jake Paul wins the fight, he looks like a pathetic coward for fighting an older Mike Tyson who’s no longer in his prime, which we all know if he still was, Jake Paul would die.",0,2024-10-23T19:27:18Z,@baaaaadmintoluvr,Negative,"{'anger': 5, 'fear': 5, 'negative': 10, 'anticipation': 1, 'positive': 3, 'disgust': 4, 'trust': 1, 'sadness': 4}",5.0,5.0,10.0,3.0,1.0,1.0,0.0,0.0,4.0,4.0,0
"Jake, you're the face of YouTube not boxing.",0,2024-10-23T19:03:46Z,@shentavionemoore,Neutral,{'anger': 1},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mike is like 76.. this should be illegal,0,2024-10-23T18:58:36Z,@Jamal-lj4cx,Negative,"{'anger': 1, 'disgust': 1, 'fear': 1, 'negative': 1, 'sadness': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
I stopped hating on Jake and Logan the minute I realized they're on private jets drinking champagne and talking about business. While I'm here taking a shit commenting this 😂 it's not about the past anymore he's a boxer now,0,2024-10-23T18:53:17Z,@ghyzz8o8,Negative,"{'anger': 2, 'negative': 3, 'disgust': 1}",2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
This fight is soo unfair this fight is gonna last for 2min and jack is alrdy in hospital sd,1,2024-10-23T18:05:17Z,@samuraigamer7298,Negative,"{'anger': 3, 'fear': 3, 'negative': 3, 'disgust': 1, 'sadness': 2, 'trust': 1}",3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0
"All I know is we need Tyson to win for humanity. We can’t keep going down this road, shits getting weird.",0,2024-10-23T18:02:08Z,@rickmelendez734,Positive,"{'joy': 1, 'positive': 1, 'trust': 1, 'disgust': 1, 'negative': 1}",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1
"Man mike is 58  and jake is 27 
What's worng with jake 🤬 
Anderw tate is good  in this",0,2024-10-23T17:47:58Z,@Bej_nDp-x4m,Positive,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1}",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
Tyson got this😂,0,2024-10-23T17:35:08Z,@xcheyo,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
